crank	8 (3) 
crash	9 (3) 
crass	9 (4) 
crate	8 (4) 
crave	9 (10) 
crawl	6 (0) 
craze	9 (9) 
crazy	8 (7) 
creak	7 (3) 
cream	7 (1) 
credo	7 (1) 
creed	7 (1) 
creek	7 (1) 
creep	6 (0) 
creme	6 (0) 
crepe	6 (0) 
crept	6 (0) 
cress	7 (1) 
crest	7 (1) 
crick	8 (7) 
cried	9 (6) 
crier	9 (10) 
crime	7 (1) 
crimp	8 (5) 
crisp	8 (5) 
croak	6 (0) 
crock	7 (1) 
crone	7 (1) 
crony	6 (0) 
crook	8 (4) 
cross	8 (6) 
croup	7 (1) 
crowd	7 (2) 
crown	7 (2) 
crude	7 (1) 
cruel	9 (8) 
crumb	8 (3) 
crump	8 (4) 
crush	8 (3) 
crust	7 (2) 
crypt	7 (1) 
cubic	8 (5) 
cumin	8 (5) 
curio	9 (7) 
curly	8 (4) 
curry	8 (4) 
curse	7 (2) 
curve	7 (1) 
curvy	8 (3) 
cutie	7 (5) 
cyber	7 (4) 
cycle	8 (10) 
cynic	7 (7) 
daddy	8 (9) 
daily	8 (8) 
dairy	8 (8) 
daisy	8 (6) 
dally	8 (5) 
dance	9 (11) 
dandy	8 (4) 
datum	8 (4) 
daunt	8 (7) 
dealt	7 (1) 
death	8 (3) 
debar	8 (5) 
debit	7 (6) 
debug	8 (4) 
debut	8 (4) 
decal	8 (4) 
decay	7 (1) 
decor	9 (5) 
decoy	7 (1) 
decry	8 (6) 
defer	8 (10) 
deign	9 (6) 
deity	7 (5) 
delay	7 (4) 
delta	7 (1) 
delve	9 (6) 
demon	7 (1) 
demur	9 (6) 
denim	9 (3) 
dense	8 (3) 
depot	9 (3) 
depth	8 (4) 
derby	8 (8) 
deter	9 (9) 
detox	8 (4) 
deuce	9 (5) 
devil	8 (3) 
diary	8 (8) 
dicey	8 (6) 
digit	8 (6) 
dilly	8 (6) 
dimly	8 (7) 
diner	9 (7) 
dingo	7 (2) 
dingy	8 (3) 
diode	7 (5) 
dirge	7 (2) 
dirty	6 (0) 
disco	8 (3) 
ditch	6 (0) 
